"CIDADE";"ESTADO";"CAPITAL";"IDHM";"IDHM_Renda";"IDHM_Longevidade";"IDHM_Educacao";"POPULACAO_ESTIMADA";"PIB";"regiao"
"Guajeru";"BA";0;0.569;0.548;0.77;0.437;7239;55176;"Nordeste"
"Guamare";"RN";0;0.626;0.632;0.769;0.505;15349;1876595;"Nordeste"
"Guamiranga";"PR";0;0.669;0.657;0.804;0.568;8664;191881;"Sul"
"Guanambi";"BA";0;0.673;0.663;0.789;0.584;84014;1198658;"Nordeste"
"Guanhaes";"MG";0;0.686;0.683;0.82;0.576;34057;608338;"Norte"
"Guapiara";"SP";0;0.675;0.634;0.806;0.602;17293;529402;"Norte"
"Guapiacu";"SP";0;0.725;0.728;0.866;0.605;21125;508226;"Norte"
"Guapimirim";"RJ";0;0.698;0.692;0.812;0.604;59613;908683;"Norte"
"Guapirama";"PR";0;0.702;0.666;0.805;0.645;3820;111894;"Sul"
"Guaporema";"PR";0;0.719;0.686;0.808;0.671;2246;54185;"Sul"
"Guapore";"RS";0;0.765;0.781;0.837;0.685;25475;774921;"Sul"
"Guape";"MG";0;0.679;0.661;0.831;0.57;14233;237034;"Norte"
"Guapo";"GO";0;0.697;0.708;0.826;0.58;14211;172049;"Centro-Oeste"
"Guarabira";"PB";0;0.673;0.641;0.812;0.586;58492;938501;"Nordeste"
"Guaraci";"SP";0;0.737;0.698;0.84;0.682;11088;325485;"Norte"
"Guaraci";"PR";0;0.698;0.693;0.821;0.598;5473;105364;"Sul"
"Guaraciaba";"SC";0;0.751;0.754;0.871;0.646;10154;277018;"Sul"
"Guaraciaba";"MG";0;0.623;0.618;0.794;0.493;10333;83530;"Norte"
"Guaraciaba Do Norte";"CE";0;0.609;0.552;0.776;0.528;39713;359485;"Nordeste"
"Guaraciama";"MG";0;0.677;0.586;0.807;0.655;4954;38841;"Norte"
"Guaramiranga";"CE";0;0.637;0.576;0.736;0.61;3595;55125;"Nordeste"
"Guaramirim";"SC";0;0.751;0.748;0.885;0.641;43822;1462816;"Sul"
