city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
Itabuna,2914802.0,2020-08-18,34,213223.0,False,True,7573,3551.68063,2020-08-17,0.0206,156,153,city,BA,0,0
Blumenau,4202404.0,2020-08-18,34,357199.0,False,True,7231,2024.36177,2020-08-17,0.0137,99,150,city,SC,0,0
Jaboatão dos Guararapes,2607901.0,2020-08-18,34,702298.0,False,True,7184,1022.92759,2020-08-17,0.1098,789,155,city,PE,0,0
Coari,1301209.0,2020-08-18,34,85097.0,False,True,6780,7967.3784,2020-08-17,0.0155,105,124,city,AM,0,0
Duque de Caxias,3301702.0,2020-08-18,34,919596.0,False,True,6778,737.0628,2020-08-17,0.0894,606,148,city,RJ,0,0
Ipatinga,3131307.0,2020-08-18,34,263410.0,False,True,6759,2565.9618100000002,2020-08-17,0.0186,126,160,city,MG,0,0
Diadema,3513801.0,2020-08-18,34,423884.0,False,True,6595,1555.85019,2020-08-17,0.0412,272,145,city,SP,0,0
Macaé,3302403.0,2020-08-18,34,256672.0,False,True,6480,2524.62286,2020-08-17,0.019,123,141,city,RJ,0,0
Ananindeua,1500800.0,2020-08-18,34,530598.0,False,True,6347,1196.1975,2020-08-17,0.0548,348,147,city,PA,0,0
Guarujá,3518701.0,2020-08-18,34,320459.0,False,True,5965,1861.39257,2020-08-17,0.0453,270,141,city,SP,0,0
Marabá,1504208.0,2020-08-18,34,279349.0,False,True,5961,2133.88987,2020-08-17,0.0285,170,149,city,PA,0,0
Santana,1600600.0,2020-08-18,34,121364.0,False,True,5929,4885.30371,2020-08-17,0.0135,80,136,city,AP,0,0
Parnaíba,2207702.0,2020-08-18,34,153078.0,False,True,5909,3860.1236,2020-08-17,0.0206,122,144,city,PI,0,0
Mossoró,2408003.0,2020-08-18,34,297378.0,False,True,5899,1983.6706100000001,2020-08-10,0.0324,191,151,city,RN,0,0
Maracanaú,2307650.0,2020-08-18,34,227886.0,False,True,5888,2583.7480100000002,2020-08-17,0.0397,234,143,city,CE,0,0
Praia Grande,3541000.0,2020-08-18,34,325073.0,False,True,5878,1808.2092300000002,2020-08-17,0.0289,170,140,city,SP,0,0
Santarém,1506807.0,2020-08-18,34,304589.0,False,True,5785,1899.2806699999999,2020-08-17,0.0328,190,140,city,PA,0,0
Cascavel,4104808.0,2020-08-18,34,328454.0,False,True,5545,1688.21205,2020-08-17,0.0204,113,149,city,PR,0,0
Caruaru,2604106.0,2020-08-18,34,361118.0,False,True,5528,1530.8015699999999,2020-08-17,0.0478,264,149,city,PE,0,0
